device_knumber,predicate_knumber,tier
K173388,K131298,SECTION_HEADED
K173388,K153595,SECTION_HEADED
K173491,K153609,SECTION_HEADED
K173556,K101557,SECTION_HEADED
K173556,K141493,PROXIMITY_ONLY
K173556,K151418,SECTION_HEADED
K173556,K161292,SECTION_HEADED
K173556,K162635,SECTION_HEADED
K173583,K050327,SECTION_HEADED
K173722,K121049,SECTION_HEADED
K173722,K161442,SECTION_HEADED
K173859,K120078,SECTION_HEADED
K173859,K120449,SECTION_HEADED
K173859,K133794,SECTION_HEADED
K173960,K093736,SECTION_HEADED
K173964,K023096,SECTION_HEADED
K173964,K091196,PROXIMITY_ONLY
K180317,K152631,SECTION_HEADED
K180436,K003018,SECTION_HEADED
K180480,K151256,SECTION_HEADED
K180480,K161485,SECTION_HEADED
K180798,K002149,SECTION_HEADED
K180798,K010170,SECTION_HEADED
K180798,K052026,SECTION_HEADED
K180798,K061547,SECTION_HEADED
K180798,K072656,PROXIMITY_ONLY
K180798,K090998,PROXIMITY_ONLY
K180798,K122382,PROXIMITY_ONLY
K180798,K130376,PROXIMITY_ONLY
K180798,K140043,PROXIMITY_ONLY
K180798,K171181,PROXIMITY_ONLY
K180798,K934765,SECTION_HEADED
K180798,K953490,SECTION_HEADED
K180798,K971429,PROXIMITY_ONLY
K180930,K072154,SECTION_HEADED
K180930,K091956,SECTION_HEADED
K181171,K141653,SECTION_HEADED
K181287,K051623,SECTION_HEADED
K181287,K053274,SECTION_HEADED
K181287,K060716,SECTION_HEADED
K181287,K160975,SECTION_HEADED
K181362,K100858,SECTION_HEADED
K181362,K133349,SECTION_HEADED
K181420,K141029,SECTION_HEADED
K181483,K163491,PROXIMITY_ONLY
K181483,K172676,PROXIMITY_ONLY
K181483,K173030,PROXIMITY_ONLY
K181483,K173324,PROXIMITY_ONLY
K181591,K143688,SECTION_HEADED
K181598,K002149,SECTION_HEADED
K181598,K052026,SECTION_HEADED
K181598,K061547,SECTION_HEADED
K181598,K170444,SECTION_HEADED
K181603,K171791,SECTION_HEADED
K181603,K180851,SECTION_HEADED
K181611,K013991,SECTION_HEADED
K181611,K080642,SECTION_HEADED
K181761,K032396,SECTION_HEADED
K181761,K151307,SECTION_HEADED
K181761,K960658,SECTION_HEADED
K181809,K141259,SECTION_HEADED
K181809,K173859,SECTION_HEADED
K181846,K171848,SECTION_HEADED
K182321,K094035,SECTION_HEADED
K182321,K112802,PROXIMITY_ONLY
K182321,K112898,SECTION_HEADED
K182321,K121297,PROXIMITY_ONLY
K182321,K171273,PROXIMITY_ONLY
K182321,K840643,SECTION_HEADED
K182321,K862702,PROXIMITY_ONLY
K182321,K864857,PROXIMITY_ONLY
K182321,K901364,SECTION_HEADED
K182321,K911728,SECTION_HEADED
K182321,K912654,SECTION_HEADED
K182321,K920831,SECTION_HEADED
K182321,K935206,PROXIMITY_ONLY
K182321,K943302,PROXIMITY_ONLY
K182461,K060438,SECTION_HEADED
K182810,K151418,SECTION_HEADED
K183011,K153207,PROXIMITY_ONLY
K183011,K163593,PROXIMITY_ONLY
K183011,K180239,SECTION_HEADED
K183055,K151785,SECTION_HEADED
K183055,K162426,SECTION_HEADED
K183071,K120486,SECTION_HEADED
K183071,K171496,SECTION_HEADED
K183141,K142187,SECTION_HEADED
K183141,K161840,SECTION_HEADED
K183279,K082282,SECTION_HEADED
K183279,K173859,SECTION_HEADED
K183279,K181809,SECTION_HEADED
K183342,K172437,SECTION_HEADED
K183426,K124034,SECTION_HEADED
K183426,K170455,SECTION_HEADED
K183506,K133794,SECTION_HEADED
K183506,K173859,SECTION_HEADED
K183659,K063205,SECTION_HEADED
K183684,K172857,SECTION_HEADED
K183684,K180973,SECTION_HEADED
K190110,K071206,SECTION_HEADED
K190123,K101575,SECTION_HEADED
K190123,K120599,SECTION_HEADED
K190123,K173898,SECTION_HEADED
K190123,K842559,SECTION_HEADED
K190123,K932222,SECTION_HEADED
K190361,K180179,SECTION_HEADED
K190409,K161590,SECTION_HEADED
