device_knumber,predicate_knumber,tier
K213108,K141680,SECTION_HEADED
K213115,K120275,SECTION_HEADED
K213115,K133784,SECTION_HEADED
K213115,K142251,SECTION_HEADED
K213115,K180301,SECTION_HEADED
K213117,K201315,SECTION_HEADED
K213124,K151293,SECTION_HEADED
K213387,K150583,SECTION_HEADED
K213387,K950651,SECTION_HEADED
K213456,K160313,SECTION_HEADED
K213456,K191074,SECTION_HEADED
K213459,K170452,SECTION_HEADED
K213615,K173824,SECTION_HEADED
K213641,K160597,SECTION_HEADED
K220142,K191966,SECTION_HEADED
K220260,K083070,SECTION_HEADED
K220260,K130033,SECTION_HEADED
K220285,K171808,SECTION_HEADED
K220285,K190391,SECTION_HEADED
K220334,K182151,SECTION_HEADED
K220570,K121115,SECTION_HEADED
K220570,K171170,SECTION_HEADED
K220581,K211113,SECTION_HEADED
K220679,K083726,SECTION_HEADED
K220792,K182099,SECTION_HEADED
K220810,K113174,SECTION_HEADED
K220839,K132217,SECTION_HEADED
K220839,K182361,SECTION_HEADED
K220839,K201132,SECTION_HEADED
K220839,K210994,SECTION_HEADED
K220914,K162455,SECTION_HEADED
K221104,K202484,SECTION_HEADED
K221366,K150661,SECTION_HEADED
K221412,K181806,SECTION_HEADED
K221467,K183077,SECTION_HEADED
K221467,K202716,SECTION_HEADED
K221621,K034002,SECTION_HEADED
K221636,K033273,SECTION_HEADED
K221636,K062419,PROXIMITY_ONLY
K221636,K071784,SECTION_HEADED
K221636,K093646,SECTION_HEADED
K221636,K132959,SECTION_HEADED
K221636,K193057,PROXIMITY_ONLY
K221636,K983382,SECTION_HEADED
K221645,K203228,SECTION_HEADED
K221697,K103433,SECTION_HEADED
K221697,K143596,SECTION_HEADED
K221735,K132071,SECTION_HEADED
K221758,K100858,SECTION_HEADED
K221758,K110598,SECTION_HEADED
K221758,K110847,SECTION_HEADED
K221758,K113254,SECTION_HEADED
K221758,K133349,SECTION_HEADED
K221758,K143256,SECTION_HEADED
K221758,K143552,SECTION_HEADED
K221758,K153722,SECTION_HEADED
K221758,K161476,SECTION_HEADED
K221758,K163397,SECTION_HEADED
K221758,K171858,SECTION_HEADED
K221758,K173388,SECTION_HEADED
K221758,K212800,PROXIMITY_ONLY
K221787,K213059,SECTION_HEADED
K221844,K171808,SECTION_HEADED
K221844,K190830,SECTION_HEADED
K221850,K202568,SECTION_HEADED
K222091,K211770,SECTION_HEADED
K222091,K221465,SECTION_HEADED
K222263,K191226,SECTION_HEADED
K222263,K193503,SECTION_HEADED
K222263,K203495,SECTION_HEADED
K222423,K110145,SECTION_HEADED
K222423,K133224,SECTION_HEADED
K222482,K191433,SECTION_HEADED
K222561,K130958,SECTION_HEADED
K222561,K201614,SECTION_HEADED
K222645,K220136,SECTION_HEADED
K222760,K080979,SECTION_HEADED
K222763,K180951,PROXIMITY_ONLY
K222835,K203315,SECTION_HEADED
K222967,K161616,SECTION_HEADED
K222967,K191118,SECTION_HEADED
K223103,K122296,SECTION_HEADED
K223103,K130099,SECTION_HEADED
K223103,K143096,SECTION_HEADED
K223146,K103034,SECTION_HEADED
K223146,K191391,SECTION_HEADED
K223146,K211496,PROXIMITY_ONLY
K223146,K213935,SECTION_HEADED
K223184,K131722,SECTION_HEADED
K223184,K171715,SECTION_HEADED
K223184,K182307,SECTION_HEADED
K223348,K150561,SECTION_HEADED
K223548,K081023,SECTION_HEADED
K223548,K083116,SECTION_HEADED
K223589,K222194,SECTION_HEADED
K223631,K111746,SECTION_HEADED
K223631,K172502,SECTION_HEADED
K223631,K182516,SECTION_HEADED
K223655,K092873,SECTION_HEADED
K223655,K161742,SECTION_HEADED
K223801,K141990,SECTION_HEADED
K223801,K162455,SECTION_HEADED
K223828,K103012,SECTION_HEADED
K223828,K121665,SECTION_HEADED
K223828,K173776,SECTION_HEADED
K223828,K192683,SECTION_HEADED
K230011,K103352,SECTION_HEADED
K230053,K081149,SECTION_HEADED
K230257,K213837,SECTION_HEADED
K230257,K221031,SECTION_HEADED
K230257,K222267,SECTION_HEADED
K230471,K193223,SECTION_HEADED
K230513,K153115,SECTION_HEADED
K230513,K172371,SECTION_HEADED
K230563,K021489,PROXIMITY_ONLY
K230563,K081479,PROXIMITY_ONLY
K230563,K093552,SECTION_HEADED
K230563,K122218,SECTION_HEADED
K230563,K142550,SECTION_HEADED
K230563,K162026,SECTION_HEADED
K230563,K171389,SECTION_HEADED
K230563,K182125,SECTION_HEADED
K230563,K953439,PROXIMITY_ONLY
K230563,K973524,PROXIMITY_ONLY
K230563,K990030,PROXIMITY_ONLY
K230565,K124058,SECTION_HEADED
K230565,K180210,SECTION_HEADED
K230639,K222561,SECTION_HEADED
K230831,K092122,SECTION_HEADED
K230831,K113254,SECTION_HEADED
K230831,K182039,SECTION_HEADED
K230831,K212933,SECTION_HEADED
K230945,K162825,SECTION_HEADED
K230945,K202680,SECTION_HEADED
K230946,K172383,SECTION_HEADED
K230946,K183363,SECTION_HEADED
K230974,K180179,SECTION_HEADED
K231093,K133671,SECTION_HEADED
K231113,K201749,SECTION_HEADED
K231113,K203268,SECTION_HEADED
K231147,K131459,SECTION_HEADED
K231251,K180972,SECTION_HEADED
K231253,K060127,SECTION_HEADED
K231253,K221292,SECTION_HEADED
K231322,K081511,SECTION_HEADED
K231322,K202806,SECTION_HEADED
K231326,K192032,SECTION_HEADED
K231343,K051678,SECTION_HEADED
K231343,K102413,SECTION_HEADED
K231343,K173811,SECTION_HEADED
K231343,K221031,SECTION_HEADED
K231447,K153208,SECTION_HEADED
K231447,K223318,SECTION_HEADED
K231461,K080842,SECTION_HEADED
K231516,K203108,SECTION_HEADED
K231516,K212933,SECTION_HEADED
K231522,K103233,SECTION_HEADED
K231522,K150522,SECTION_HEADED
K231522,K231873,SECTION_HEADED
K231556,K143100,SECTION_HEADED
K231699,K191380,PROXIMITY_ONLY
K231699,K211883,SECTION_HEADED
K231699,K230313,SECTION_HEADED
K231857,K202581,SECTION_HEADED
K231857,K221128,SECTION_HEADED
K231867,K201083,SECTION_HEADED
K231887,K202912,SECTION_HEADED
K231903,K222063,SECTION_HEADED
K231911,K170452,SECTION_HEADED
K232002,K211877,SECTION_HEADED
K232002,K223252,SECTION_HEADED
K232115,K171808,SECTION_HEADED
